,Constitutency,Margin,Runner,Runner_Party,Serial_no,Winner,Winner_Party,prev_winner,prev_winner_margin,prev_winner_party
70,Jetpur,25581,AMBALIYA_RAVIBHAI_JAMANADAS,Indian_National_Congress,74,RADADIYA_JAYESHBHAI_VITTHALBHAI,Bharatiya_Janata_Party,RADADIYA_JAYESHBHAI_VITTHALBHAI,18033,Indian_National_Congress
71,Jetpur,3052,RATHVA_JAYANTIBHAI_SAVAJIBHAI,Bharatiya_Janata_Party,138,RATHVA_SUKHRAMBHAI_HARIYABHAI,Indian_National_Congress,RATHAVA_JAYANTIBHAI_SAVAJIBHAI,4273,Bharatiya_Janata_Party
72,Jhagadia,48948,RAVJIBHAI_ISHVARBHAI_VASAVA,Bharatiya_Janata_Party,152,VASAVA_CHHOTUBHAI_AMARSINH,Bhartiya_Tribal_Party,VASAVA_CHHOTUBHAI_AMARSINH,13304,Janata_Dal__(United)
73,Jhalod,25410,BHURIYA_MAHESHBHAI_SOMJIBHAI,Bharatiya_Janata_Party,130,KATARA_BHAVESHBHAI_BABUBHAI,Indian_National_Congress,GARASIYA_MITESHBHAI_KALABHAI,40073,Indian_National_Congress
74,Junagadh,6084,MASHRU_MAHENDRABHAI_LILADHARBHAI,Bharatiya_Janata_Party,86,JOSHI_BHIKHABHAI_GALABHAI,Indian_National_Congress,MASHRU_MAHENDRABHAI_LILADHARBHAI,13796,Bharatiya_Janata_Party
75,Kadi,7746,CHAVDA_RAMESHBHAI_MAGANBHAI,Indian_National_Congress,24,KARSHANBHAI_PUNJABHAI_SOLANKI,Bharatiya_Janata_Party,CHAVADA_RAMESHBHAI_MAGANBHAI,1217,Indian_National_Congress
76,Kalavad_S.C.,32951,GHAIYADA_MULJIBHAI_DAYABHAI,Bharatiya_Janata_Party,76,MUSADIYA_PRAVINBHAI_NARASHIBHAI,Indian_National_Congress,CHAVDA_MEGHJIBHAI__AMARABHAI,6119,Bharatiya_Janata_Party
77,Kalol,7965,DR.ATULBHAI_K._PATEL,Bharatiya_Janata_Party,38,BALDEVJI_CHANDUJI_THAKOR,Indian_National_Congress,THAKOR_BALDEVJI_CHANDUJI,343,Indian_National_Congress
78,Kalol,49277,PARMAR_PRADHYUMANSINH_VIJAYSINH_(PANCHMAHAL_ZEROXWALA),Indian_National_Congress,127,CHAUHAN_SUMANBEN_PRAVINSINH,Bharatiya_Janata_Party,RATHOD_ARVINDSINH_DAMSINH,30056,Bharatiya_Janata_Party
79,Kamrej,28191,ASHOK_(JIRAVALA),Indian_National_Congress,158,V.D.ZALAVADIYA,Bharatiya_Janata_Party,PANSHERIYA_PRAFULBHAI_CHHAGANBHAI,61371,Bharatiya_Janata_Party
80,Kankrej,8588,JALERA_DINESHJI_DHARSIJI,Indian_National_Congress,15,KIRTISINH_PRABHATSINH_VAGHELA,Bharatiya_Janata_Party,KHANPURA_DHARSHIBHAI_LAKHABHAI,600,Indian_National_Congress
81,Kapadvanj,27226,DABHI_KANUBHAI_BHULABHAI,Bharatiya_Janata_Party,120,DABHI_KALABHAI_RAIJIBHAI,Indian_National_Congress,SHANKERSINH_VAGHELA_(BAPU),6597,Indian_National_Congress
82,Kaprada,170,RAUT_MADHUBHAI_BAPUBHAI,Bharatiya_Janata_Party,181,CHAUDHARI_JITUBHAI_HARJIBHAI,Indian_National_Congress,CHAUDHARI_JITUBHAI_HARAJIBHAI,18685,Indian_National_Congress
83,Karanj,35598,BHUMBHALIYA_BHAVESHBHAI_GOVINDBHAI_(ADVOCATE),Indian_National_Congress,162,GHOGHARI_PRAVINBHAI_MANJIBHAI,Bharatiya_Janata_Party,KACHHADIYA_JANAKBHAI_MANJIBHAI,49439,Bharatiya_Janata_Party
84,Karjan,3564,SATISHBHAI_MOTIBHAI_PATEL,Bharatiya_Janata_Party,147,AKSHAY_KUMAR_ISWARBHAI__PATEL,Indian_National_Congress,PATEL_SATISHBHAI_MOTIBHAI,3489,Bharatiya_Janata_Party
85,Katargam,79230,JIGNESH_JIVANI_(MEVASA),Indian_National_Congress,166,VINODBHAI_AMARSHIBHAI_MORADIYA_(VINUBHAI_NINGALA),Bharatiya_Janata_Party,VANANI_NANUBHAI_BHAGAVANBHAI,43272,Bharatiya_Janata_Party
86,Keshod,10806,JAYESHKUMAR_VALJIBHAI_LADANI,Indian_National_Congress,88,DEVABHAI_PUNJABHAI_MALAM,Bharatiya_Janata_Party,ARVINDBHAI_KESHAVBHAI_LADANI,7937,Bharatiya_Janata_Party
87,Khambhalia,11046,KALUBHAI_NARANBHAI_CHAVDA,Bharatiya_Janata_Party,81,AHIR_VIKRAMBHAI_ARJANBHAI_MADAM,Indian_National_Congress,POONAMBEN_HEMATBHAI_MAADAM,38382,Bharatiya_Janata_Party
88,Khambhat,2318,PATEL_KHUSHMANBHAI_SHANTILAL,Indian_National_Congress,108,MAHESHKUMAR_KANAIYALAL_RAVAL__(MAYUR_RAVAL),Bharatiya_Janata_Party,PATEL_SANJAYKUMAR_RAMANBHAI,15386,Bharatiya_Janata_Party
89,Khedbrahma,11131,RAMILABEN_BARA,Bharatiya_Janata_Party,29,KOTWAL_ASHVINBHAI_LAXMANBHAI,Indian_National_Congress,ASHVIN_KOTWAL,50137,Indian_National_Congress
90,Kheralu,21415,DESAI_MUKESHKUMAR_MOGHJIBHAI,Independent,20,DABHI_BHARATSINHJI_SHANKARJI,Bharatiya_Janata_Party,DHABHI_BHARATSIGHJI_SANKARJI,18386,Bharatiya_Janata_Party
91,Kodinar,14535,VADHER_RAMBHAI_MEPABHAI,Bharatiya_Janata_Party,92,MOHANLAL_MALABHAI_VALA,Indian_National_Congress,SOLANKI_JETHABHAI_DANABHAI,8477,Bharatiya_Janata_Party
92,Kutiyana,23709,ODEDRA_LAKHAMANBHAI_BHIMABHAI,Bharatiya_Janata_Party,84,JADEJA_KANDHALBHAI_SARMANBHAI,Nationalist_Congress_Party,KANDHAL_SARMANBHAI_JADEJA,18474,Nationalist_Congress_Party
93,Lathi,9343,GOPALBHAI_(CHAMARDI),Bharatiya_Janata_Party,96,VIRAJIBHAI_THUMMAR,Indian_National_Congress,BAVKUBHAI_NATHABHAI_UNDHAD,2764,Indian_National_Congress
94,Limbayat,31951,DR._RAVINDRA__SUKLAL_PATIL,Indian_National_Congress,163,PATIL_SANGITABEN_RAJENDRABHAI,Bharatiya_Janata_Party,PATIL_SANGITABEN_RAJENDRABHAI,30321,Bharatiya_Janata_Party
95,Limbdi,14651,KIRITSINH_JITUBHA_RANA,Bharatiya_Janata_Party,61,KOLIPATEL_SOMABHAI_GANDALAL,Indian_National_Congress,KOLIPATEL_SOMABHAI_GANDALAL,1561,Indian_National_Congress
96,Limkheda,19314,TADVI_MAHESHBHAI_RATANSING,Indian_National_Congress,131,BHABHOR_SHAILESHBHAI_SUMANBHAI,Bharatiya_Janata_Party,BHABHOR_JASHVANTSINH_SUMANBHAI,15331,Bharatiya_Janata_Party
97,Lunawada,3200,PATEL_MANOJKUMAR_RAYAJIBHAI,Bharatiya_Janata_Party,122,RATHOD_RATANSINH_MAGANSINH,Independent,PATEL_HEERABHAI_HARIBHAI,3701,Indian_National_Congress
98,Mahesana,7137,PATEL_JIVABHAI_AMBALAL,Indian_National_Congress,25,PATEL_NITINBHAI_RATILAL,Bharatiya_Janata_Party,PATEL_NITINKUMAR_RATILAL,24205,Bharatiya_Janata_Party
99,Mahudha,13601,BHARATSINH_RAYSINGBHAI_PARMAR,Bharatiya_Janata_Party,118,INDRAJITSINH_NATVARSINH_PARMAR,Indian_National_Congress,THAKOR_NATVARSINH_FULSINH,13230,Indian_National_Congress
100,Mahuva,5009,DR._KANUBHAI_V._KALSARIA,Independent,99,MAKWANA_RAGHAVBHAI_CHONDABHAI,Bharatiya_Janata_Party,MAKWANA_BHAVANABEN_RAGHAVBHAI,28352,Bharatiya_Janata_Party
101,Mahuva,6433,CHAUDHARI_DR._TUSHARBHAI_AMARSINHBHAI,Indian_National_Congress,170,DHODIYA_MOHANBHAI_DHANJIBHAI,Bharatiya_Janata_Party,DHODIYA_MOHANBHAI_DHANJIBHAI,11687,Bharatiya_Janata_Party
102,Majura,85827,KOTHARI_ASHOK_MOHANLAL,Indian_National_Congress,165,HARSH_RAMESHKUMAR_SANGHAVI,Bharatiya_Janata_Party,SANGHVI_HARSH_RAMESHKUMAR,71556,Bharatiya_Janata_Party
103,Manavadar,29763,NITINKUMAR_(TINUBHAI)_VALJIBHAI_FADADU,Bharatiya_Janata_Party,85,CHAVDA_JAWAHARBHAI_PETHALJIBHAI,Indian_National_Congress,CHAVDA_JAWAHARBHAI_PETHALAJIBHAI,4402,Indian_National_Congress
104,Mandvi,9046,GOHIL_SHAKTISINHJI_HARICHANDRASINHJI,Indian_National_Congress,2,JADEJA_VIRENDRASINH_BAHADURSINH,Bharatiya_Janata_Party,CHHEDA_TARACHAND_JAGASHI,8506,Bharatiya_Janata_Party
105,Mandvi,50776,PRAVINBHAI_MERJIBHAI_CHAUDHARI,Bharatiya_Janata_Party,157,CHAUDHARI_ANANDBHAI_MOHANBHAI,Indian_National_Congress,VASAVA_PARBHUBHAI_NAGARBHAI,24394,Indian_National_Congress
106,Mangrol,13914,KARGATIYA_BHAGVANJIBHAI_LAKHABHAI,Bharatiya_Janata_Party,89,VAJA_BABUBHAI_KALABHAI,Indian_National_Congress,CHUDASAMA_RAJESHBHAI_NARANBHAI,15714,Bharatiya_Janata_Party
107,Mangrol,40799,VASAVA_NANSINGBHAI_NANDARIABHAI,Indian_National_Congress,156,VASAVA_GANPATSINH_VESTABHAI,Bharatiya_Janata_Party,VASAVA_GANPATSINH_VESTABHAI,31106,Bharatiya_Janata_Party
108,Maninagar,75199,BRAHMBHATT_SHWETABEN_NARENDRABHAI,Indian_National_Congress,53,PATEL_SURESHBHAI_DHANJIBHAI_(SURESH_PATEL),Bharatiya_Janata_Party,NARENDRA_MODI,86373,Bharatiya_Janata_Party
109,Manjalpur,56362,CHIRAG_HANSKUMAR_ZAVERI_(CHIRAG_ZAVERI_),Indian_National_Congress,145,YOGESH_PATEL,Bharatiya_Janata_Party,YOGESH_PATEL,51785,Bharatiya_Janata_Party
110,Mansa,524,AMITBHAI_HARISINGBHAI_CHAUDHARY,Bharatiya_Janata_Party,37,PATEL_SURESHKUMAR_CHATURDAS,Indian_National_Congress,CHAUDHARI_AMITBHAI_HARISINGBHAI,8028,Indian_National_Congress
111,Matar,2406,PATEL_SANJAYBHAI_HARIBHAI,Indian_National_Congress,115,KESARISINH_JESANGBHAI_SOLANKI,Bharatiya_Janata_Party,CHAUHAN_DEVUSINH_JESINGBHAI,6487,Bharatiya_Janata_Party
112,Mehmedabad,20915,GAUTAMBHAI_RAVJIBHAI_CHAUHAN,Indian_National_Congress,117,CHAUHAN__ARJUNSINH_UDESINH,Bharatiya_Janata_Party,GAUTAMBHAI_RAVJIBHAI_CHAUHAN,4181,Indian_National_Congress
113,Modasa,1640,PARMAR_BHIKHUSINHJI_CHATURSINHJI,Bharatiya_Janata_Party,31,THAKOR_RAJENDRASINH_SHIVSINH,Indian_National_Congress,THAKOR_RAJENDRASINH_SHIVSINH,22858,Indian_National_Congress
114,Morbi,3419,AMRUTIYA_KANTILAL_SHIVLAL,Bharatiya_Janata_Party,65,BRIJESH_MERJA,Indian_National_Congress,AMRUTIYA_KANTILAL_SHIVLAL,2760,Bharatiya_Janata_Party
115,Morva_Hadaf,4366,DINDOR_VIKRAMSINH_RAMSINH,Bharatiya_Janata_Party,125,KHANT_BHUPENDRASINH_VECHATBHAI,Independent,KHANT_SAVITABEN_VECHATBHAI,11289,Indian_National_Congress
116,Nadiad,20838,JITENDRA_SURYAKANTBHAI_PATEL_(AZAD),Indian_National_Congress,116,DESAI_PANKAJBHAI_VINUBHAI(GOTIYO),Bharatiya_Janata_Party,DESAI_PANKAJ_VINUBHAI_(GOTIYO),6587,Bharatiya_Janata_Party
117,Nandod,6329,TADVI_SHABDASHARAN_BHAILALBHAI,Bharatiya_Janata_Party,148,VASAVA_PREMSINHBHAI_DEVJIBHAI,Indian_National_Congress,TADVI_SHABDASHARAN_BHAILALBHAI,15727,Bharatiya_Janata_Party
118,Naranpura,66215,NITINBHAI_KANTIBHAI_PATEL,Indian_National_Congress,45,KAUSHIKBHAI_JAMNADAS_PATEL_(KAUSHIK_PATEL),Bharatiya_Janata_Party,AMIT_SHAH,63335,Bharatiya_Janata_Party
119,Naroda,60142,TIWARI_OMPRAKASH_DAROGAPRASAD,Indian_National_Congress,47,THAWANI_BALRAM_KHUBCHAND,Bharatiya_Janata_Party,WADHWANI_NIRMALABEN_SUNILBHAI,58352,Bharatiya_Janata_Party
120,Navsari,46095,BHAVNABEN_ANILBHAI_PATEL,Indian_National_Congress,175,PIYUSHBHAI_DINKERBHAI_DESAI,Bharatiya_Janata_Party,DESAI_PIYUSHBHAI_DINKARBHAI,15981,Bharatiya_Janata_Party
121,Nikol,24880,GOHIL_INDRAVIJAYSINH,Indian_National_Congress,46,JAGDISH_PANCHAL,Bharatiya_Janata_Party,PANCHAL_JAGDISH_ISHWARBHAI,48712,Bharatiya_Janata_Party
122,Nizar,23129,KANTILALBHAI_RESHMABHAI_GAMIT,Bharatiya_Janata_Party,172,SUNILBHAI_RATANJIBHAI_GAMIT,Indian_National_Congress,GAMIT_KANTILALBHAI_RESHMABHAI,9924,Bharatiya_Janata_Party
123,Olpad,61812,BAKROLA_YOGENDRASINH_CHANDRASINH,Indian_National_Congress,155,PATEL_MUKESHBHAI_ZINABHAI,Bharatiya_Janata_Party,PATEL_MUKESHBHAI_ZINABHAI,37058,Bharatiya_Janata_Party
124,Padra,19027,PATEL_DINESHBHAI_BALUBHAI_(DINUMAMA),Bharatiya_Janata_Party,146,THAKOR_JASHPALSINH_MAHENDRASINH_(PADHIYAR),Indian_National_Congress,PATEL_DINESHBHAI_BALUBHAI_(DINUMAMA),4308,Bharatiya_Janata_Party
125,Palanpur,17593,PRAJAPATI_LALJIBHAI_KANJIBHAI,Bharatiya_Janata_Party,12,PATEL_MAHESHKUMAR_AMRUTLAL,Indian_National_Congress,PATEL_MAHESHKUMAR_AMRUTLAL,5284,Indian_National_Congress
126,Palitana,14189,RATHOD_PRAVINBHAI_JINABHAI,Indian_National_Congress,102,BARAIYA_BHIKHABHAI_RAVAJIBHAI,Bharatiya_Janata_Party,RATHOD_PRAVINBHAI_JINABHAI,14325,Indian_National_Congress
127,Pardi,52086,BHARATBHAI_MOHANBHAI_PATEL,Indian_National_Congress,180,DESAI_KANUBHAI_MOHANLAL,Bharatiya_Janata_Party,KANUBHAI_MOHANLAL_DESAI,37311,Bharatiya_Janata_Party
128,Patan,25279,DESAI_RANCHHODBHAI_MAHIJIBHAI,Bharatiya_Janata_Party,18,KIRITKUMAR_CHIMANLAL_PATEL,Indian_National_Congress,DESAI_RANCHHODBHAI_MAHIJIBHAI,5871,Bharatiya_Janata_Party
129,Petlad,10644,CHANDRAKANT_DAHYABHAI_PATEL_(C.D.PATEL),Bharatiya_Janata_Party,113,NIRANJAN_PATEL,Indian_National_Congress,NIRANJAN_PATEL,12192,Indian_National_Congress
130,Porbandar,1855,ARJUNBHAI_DEVABHAI_MODHVADIYA,Indian_National_Congress,83,BABUBHAI_BHIMABHAI_BOKHIRIYA,Bharatiya_Janata_Party,BABUBHAI_BHIMABHAI_BOKHIRIA,17146,Bharatiya_Janata_Party
131,Prantij,2551,BARAIYA_MAHENDRASINH_KACHARSINH_(ADVOCATE),Indian_National_Congress,33,PARMAR_GAJENDRASINH_UDESINH,Bharatiya_Janata_Party,BARAIYA_MAHENDRASINH_KACHARSINH_(_ADVOCATE_),7014,Indian_National_Congress
132,Radhanpur,14857,SOLANKI_LAVINGJI_MULJIJI_THAKOR,Bharatiya_Janata_Party,16,ALPESH_KHODAJI_THAKOR,Indian_National_Congress,THAKOR_NAGARJI_HARCHANDJI,3834,Bharatiya_Janata_Party
133,Rajkot_East,22782,MITUL_DONGA,Indian_National_Congress,68,ARVIND_RAIYANI,Bharatiya_Janata_Party,RAJGURU_INDRANIL_SANJAYBHAI,4272,Indian_National_Congress
134,Rajkot_Rural,2179,VASHRAMBHAI_ALABHAI_SAGATHIYA,Indian_National_Congress,71,LAKHABHAI_SAGATHIYA,Bharatiya_Janata_Party,BHANUBEN_MANOHARBHAI_BABARIYA,11466,Bharatiya_Janata_Party
135,Rajkot_South,47121,DR._DINESH_CHOVATIYA,Indian_National_Congress,70,GOVINDBHAI_PATEL,Bharatiya_Janata_Party,GOVIND_PATEL,28477,Bharatiya_Janata_Party
136,Rajkot_West,53755,INDRANIL_RAJGURU,Indian_National_Congress,69,VIJAY_RUPANI,Bharatiya_Janata_Party,VAJUBHAI_RUDABHAI_VALA,24978,Bharatiya_Janata_Party
137,Rajula,12719,SOLANKI_HIRABHAI_ODHAVJIBHAI,Bharatiya_Janata_Party,98,DER_AMARISHBHAI_JIVABHAI,Indian_National_Congress,SOLANKI_HIRABHAI_ODHAVJIBHAI,18710,Bharatiya_Janata_Party
138,Raopura,36650,"CHANDRAKANT_R._SHRIVASTAV_""BHATTHUBHAI""",Indian_National_Congress,144,"RAJENDRA_TRIVEDI_""RAJUBHAI_VAKIL""",Bharatiya_Janata_Party,RAJENDRA_TRIVEDI_(RAJUBHAI_VAKIL),41535,Bharatiya_Janata_Party
139,Rapar,15209,PANKAJBHAI_ANOPCHAND_MAHETA,Bharatiya_Janata_Party,6,AARETHIYA_SANTOKBEN_BHACHUBHAI,Indian_National_Congress,PATEL_VAGHAJIBHAI_DHARAMSHIBHAI,9216,Bharatiya_Janata_Party
140,Sabarmati,68810,DR._JITUBHAI__PATEL,Indian_National_Congress,55,ARVIDKUMAR_GANDABHAI_PATEL_(DALAL),Bharatiya_Janata_Party,ARVINDKUMAR_GANDALAL_PATEL_(ARVIND_DALAL),67583,Bharatiya_Janata_Party
141,Sanand,7721,DABHI_PUSHPABEN_JORUBHAI,Indian_National_Congress,40,KANUBHAI_KARAMSHIBHAI_PATEL,Bharatiya_Janata_Party,KARAMSIBHAI_VIRJIBHAI_PATEL,4148,Indian_National_Congress
142,Sankheda,12849,BHIL_DHIRUBHAI_CHUNILAL,Indian_National_Congress,139,ABHESINH_MOTIBHAI_TADVI,Bharatiya_Janata_Party,BHIL_DHIRUBHAI_CHUNILAL,1452,Indian_National_Congress
143,Santrampur,6424,DAMOR_GENDALBHAI_MOTIBHAI,Indian_National_Congress,123,DINDOR_KUBERBHAI_MANSUKHBHAI,Bharatiya_Janata_Party,DAMOR_GENDALBHAI_MOTIBHAI,25654,Indian_National_Congress
144,Savarkundla,8531,KAMLESH_RASIKBHAI_KANANI,Bharatiya_Janata_Party,97,PRATAP_DUDHAT,Indian_National_Congress,VAGHASIYA_VALLABHBHAI_VASHARAMBHAI_(V.V.VAGHASIYA),2384,Bharatiya_Janata_Party
145,Savli,41633,BRAHMBHATT_SAGAR_PRAKASH_KOKO,Indian_National_Congress,135,INAMDAR_KETANBHAI_MAHENDRABHAI,Bharatiya_Janata_Party,INAMDAR_KETANBHAI_MAHENDRABHAI,20319,Independent
