,Constitutency,Margin,Runner,Runner_Party,Serial_no,Winner,Winner_Party,prev_winner,prev_winner_margin,prev_winner_party
171,Varachha_Road,13998,GAJERA_DHIRUBHAI_HARIBHAI,Indian_National_Congress,161,KISHOR_KANANI_(KUMAR),Bharatiya_Janata_Party,KANANI_KISHORBHAI_SHIVABHAI_(KUMAR),20359,Bharatiya_Janata_Party
172,Vatva,62380,PATEL_BIPINCHANDRA_RUGNATHBHAI_(BIPINKAKA),Indian_National_Congress,43,PRADIPSINH_BHAGVATSINH_JADEJA,Bharatiya_Janata_Party,PRADIPSINH_BHAGWATSINH_JADEJA,46932,Bharatiya_Janata_Party
173,Vav,6655,CHAUDHARY_SHANKARBHAI_LAGDHIRBHAI,Bharatiya_Janata_Party,7,THAKOR_GENIBEN_NAGAJI,Indian_National_Congress,SHANKARBHAI_LAGDHIRBHAI_PATEL_(CHAUDHARY),11911,Bharatiya_Janata_Party
174,Vejalpur,22567,SHAH_MIHIRBHAI_SUBODHBHAI,Indian_National_Congress,42,CHAUHAN_KISHOR_BABULAL,Bharatiya_Janata_Party,CHAUHAN_KISHORSINH_BABULAL_(KISHOR_CHAUHAN),40985,Bharatiya_Janata_Party
175,Vijapur,1164,PATEL_NATHABHAI_PRABHUDAS,Indian_National_Congress,26,PATEL_RAMANBHAI_DHULABHAI,Bharatiya_Janata_Party,PATEL_PRAHLADBHAI_ISHVARBHAI,8759,Indian_National_Congress
176,Viramgam,6548,DR._TEJSHRIBEN_DILIPKUMAR_PATEL,Bharatiya_Janata_Party,39,BHARWAD_LAKHABHAI_BHIKHABHAI,Indian_National_Congress,PATEL_TEJASHREEBEN_DILIPKUMAR,16983,Indian_National_Congress
177,Visavadar,23101,PATEL_KIRIT_BALUBHAI,Bharatiya_Janata_Party,87,RIBADIYA_HARSHADKUMAR_MADHAVAJIBHAI,Indian_National_Congress,KESHUBHAI_SAVDASBHAI_PATEL,42186,Gujarat_Parivartan_Party
178,Visnagar,2869,PATEL_MAHENDRAKUMAR_S._(MAHESH_PATEL),Indian_National_Congress,22,PATEL_RUSHIKESH_GANESHBHAI,Bharatiya_Janata_Party,PATEL_RUSHIKESH_GANESHBHAI,29399,Bharatiya_Janata_Party
179,Vyara,24414,CHAUDHARI_ARVINDBHAI_RUMSIBHAI,Bharatiya_Janata_Party,171,GAMIT_PUNABHAI_DHEDABHAI,Indian_National_Congress,PUNABHAI_DHEDABHAI_GAMIT,13556,Indian_National_Congress
180,Wadhwan,19524,PATEL_MOHANBHAI_DAHYABHAI,Indian_National_Congress,62,DHANJIBHAI_PATEL_(MAKSON),Bharatiya_Janata_Party,DOSHI_VARSHABEN_NARENDRABHAI,17558,Bharatiya_Janata_Party
181,Wankaner,1361,JITENDRA_KANTILAL_SOMANI_(JITU_SOMANI),Bharatiya_Janata_Party,67,PIRZADA_MAHAMADJAVID_ABDULMUTALIB,Indian_National_Congress,PIRZADA_MAHAMADJAVID_ABDULMUTALIB,5311,Indian_National_Congress
