,Candidate,Constitutency,Party,Votes
0,HANSRAJ,Churah,BharatiyaJanataParty,28293
1,SURENDERBHARDWAJ,Churah,IndianNationalCongress,23349
2,NANDKUMAR,Churah,SamajwadiParty,442
3,DESRAJ,Churah,Independent,425
4,JIALAL,Bharmour,BharatiyaJanataParty,25744
5,THAKURSINGHBHARMOURI,Bharmour,IndianNationalCongress,18395
6,LALITTHAKUR,Bharmour,Independent,6255
7,JANAMSINGH,Bharmour,Independent,769
8,PAWANNAYYAR,Chamba,BharatiyaJanataParty,26763
9,NEERAJNAYAR,Chamba,IndianNationalCongress,24884
10,DR.D.K.SONI,Chamba,Independent,725
11,BALKRISHANCHAUHAN,Chamba,Independent,649
12,PARASRAMBHARDWAJ,Chamba,BahujanSamajParty,562
13,ASHAKUMARI,Dalhousie,IndianNationalCongress,24224
14,D.S.THAKUR,Dalhousie,BharatiyaJanataParty,23668
15,DHIANSINGH,Dalhousie,CommunistPartyofIndia,720
16,VIRENDERSHARMA,Dalhousie,RashtriyaAzadManch,487
17,BIKRAMSINGHJARYAL,Bhattiyat,BharatiyaJanataParty,29119
18,KULDEEPSINGHPATHANIA,Bhattiyat,IndianNationalCongress,22234
19,RAHULRANPATIA,Bhattiyat,Independent,624
20,NAGESHKUMAR,Bhattiyat,Independent,485
21,RAKESHPATHANIA,Nurpur,BharatiyaJanataParty,34871
22,AJAYMAHAJAN,Nurpur,IndianNationalCongress,28229
23,HARNAMSINGH,Nurpur,BahujanSamajParty,484
24,REETADEVI,Indora,BharatiyaJanataParty,29213
25,KAMALKISHORE,Indora,IndianNationalCongress,28118
26,SUSHILKUMAR,Indora,BahujanSamajParty,952
27,LAXMANDASS,Indora,Independent,502
28,BALWANTSINGH,Indora,Independent,217
29,TILAKRAJ,Indora,Independent,188
30,SUJANSINGHPATHANIA,Fatehpur,IndianNationalCongress,18962
31,KRIPALSINGHPARMAR,Fatehpur,BharatiyaJanataParty,17678
32,BALDEVTHAKUR,Fatehpur,Independent,13090
33,DR.RAJANSUSHANT,Fatehpur,Independent,6205
34,OMPARKASH,Fatehpur,BahujanSamajParty,830
35,BIDHICHANDSHARMA,Fatehpur,Independent,580
36,RASALSINGH,Fatehpur,LokGathbandhanParty,392
37,DR.ASHOKKUMARSOMAL,Fatehpur,Independent,375
38,ARJUNSINGH,Jawali,BharatiyaJanataParty,36999
39,CHANDERKUMAR,Jawali,IndianNationalCongress,28786
40,RAKESHKUMAR,Jawali,Independent,315
41,RUSTAMSINGH,Jawali,CommunistPartyofIndia,314
42,MANJANADEVI,Jawali,BahujanSamajParty,266
43,HARBANSLALDHIMAN,Jawali,NavbharatEktaDal,236
44,HOSHYARSINGH,Dehra,Independent,24206
45,RAVINDERSINGHRAVI,Dehra,BharatiyaJanataParty,20292
46,VIPLOVETHAKUR,Dehra,IndianNationalCongress,8289
47,MANOHARLALSHARMA,Dehra,BhartiyaHimachalJanVikasParty,393
48,SUDESHCHOUDHARY,Dehra,Independent,337
49,VIPANCHAND,Dehra,BahujanSamajParty,194
50,BIKRAMSINGH,Jaswan-Pragpur,BharatiyaJanataParty,23583
51,SURINDERSINGHMANKOTIA,Jaswan-Pragpur,IndianNationalCongress,21721
52,HANSRAJ,Jaswan-Pragpur,Independent,4075
53,GAGANDEEPPRASHAR,Jaswan-Pragpur,Independent,428
54,MUJESHKUMAR,Jaswan-Pragpur,Independent,395
55,HOSHIARSINGH,Jaswan-Pragpur,BahujanSamajParty,203
56,ANUPKUMAR,Jaswan-Pragpur,Independent,82
57,AMITKUMAR,Jaswan-Pragpur,Independent,48
58,OMPRAKASH,Jaswan-Pragpur,Independent,47
59,RAMESHCHANDDHAWALA,Jawalamukhi,BharatiyaJanataParty,27914
60,SANJAYRATTAN,Jawalamukhi,IndianNationalCongress,21450
61,VIJENDERKUMAR(CHHUNKU),Jawalamukhi,Independent,3529
62,PRATAPSINGH,Jawalamukhi,Independent,387
63,RAVINDERKUMAR,Jaisinghpur,BharatiyaJanataParty,29357
64,YADVINDERGOMA,Jaisinghpur,IndianNationalCongress,18647
65,KEHARSINGH,Jaisinghpur,BahujanSamajParty,1082
66,MURLIDHAR,Jaisinghpur,AllIndiaManavadhikarRajnaitikDal,440
67,MOHINDERKUMAR,Jaisinghpur,Independent,387
68,VIPINSINGHPARMAR,Sullah,BharatiyaJanataParty,38173
69,JAGJIWANPAUL,Sullah,IndianNationalCongress,27882
70,VISHALSINGH,Sullah,Independent,972
71,LEKHRAJ,Sullah,Independent,728
72,BIKRAMSINGHRANA,Sullah,Independent,460
73,MOHINDERSINGH,Sullah,BahujanSamajParty,388
74,KUMARIVANDNA,Sullah,Independent,166
75,ARUNKUMAR,Nagrota,BharatiyaJanataParty,32039
76,GSBALI,Nagrota,IndianNationalCongress,31039
77,NAVNEET,Nagrota,Independent,384
78,PINKIDEVI,Nagrota,BahujanSamajParty,344
79,PAWANKUMARKAJAL,Kangra,IndianNationalCongress,25549
80,SANJAYCHAUDHARY,Kangra,BharatiyaJanataParty,19341
81,DR.RAJESHSHARMA,Kangra,Independent,11805
82,COL.(RET.)KULDIPSINGH,Kangra,LokGathbandhanParty,482
83,RAVICHAND,Kangra,NationalistCongressParty,408
84,VIJAYKUMAR,Kangra,BahujanSamajParty,225
85,SARVEENCHOUDHARY,Shahpur,BharatiyaJanataParty,23104
86,MAJOR(RET.)VIJAISINGHMANKOTIA,Shahpur,Independent,16957
87,KEWALSINGHPATHANIA,Shahpur,IndianNationalCongress,16333
88,RAMESHKUMAR,Shahpur,Independent,1111
89,DESHRAJCHAUDHARY,Shahpur,Independent,1108
90,BANARSIDASSDOGRA,Shahpur,BahujanSamajParty,516
91,KISHANKAPOOR,Dharamshala,BharatiyaJanataParty,26050
92,SUDHIRSHARMA,Dharamshala,IndianNationalCongress,23053
93,RAVINDERRANA,Dharamshala,Independent,2127
94,PANKAJKUMAR(PANKU),Dharamshala,Independent,1726
95,KAMALKUMAR,Dharamshala,Independent,1655
96,PAWANCHOUDHARY,Dharamshala,BahujanSamajParty,471
97,ASHWANIKAJAL,Dharamshala,BahujanMuktiParty,307
98,DIGVIJAYPURI,Dharamshala,Independent,285
99,VIKASCHAUDHARY,Dharamshala,Independent,281
100,ANUPDHIMAN,Dharamshala,Independent,273
101,NISHAKATOCH,Dharamshala,SwabhimanParty,133
102,SUBHASHCHANDSHUKLA,Dharamshala,Independent,127
103,ASHISHBUTAIL,Palampur,IndianNationalCongress,24252
104,INDUGOSWAMI,Palampur,BharatiyaJanataParty,19928
105,PARVEENKUMAR,Palampur,Independent,3198
106,BAINIPARSHAD,Palampur,Independent,1760
107,LEKHRAJ,Palampur,CommunistPartyofIndia(Marxist),390
108,SURESHKUMAR,Palampur,Independent,263
109,BALMUKUND,Palampur,BahujanSamajParty,213
110,KAPOORCHANDCHOUDHARY,Palampur,Independent,169
111,MULKHRAJ,Baijnath,BharatiyaJanataParty,32102
112,KISHORILAL,Baijnath,IndianNationalCongress,19433
113,RAMESHCHAND,Baijnath,BahujanSamajParty,510
114,BIRSINGH,Baijnath,Independent,331
