,Candidate,Constitutency,Party,Votes
793,AZIZ_IQBALBHAI__VIRANI,Rajkot_South,Independent,163
794,LAKHABHAI_SAGATHIYA,Rajkot_Rural,Bharatiya_Janata_Party,92114
795,VASHRAMBHAI_ALABHAI_SAGATHIYA,Rajkot_Rural,Indian_National_Congress,89935
796,KIRANBHAI_DHANJIBHAI_MAKWANA,Rajkot_Rural,Bahujan_Samaj_Party,3323
797,SAGATHIYA_JAYESH_DINESHBHAI,Rajkot_Rural,Independent,922
798,HARSHAD_RAGHUBHAI_MAKWANA,Rajkot_Rural,Nationalist_Congress_Party,880
799,SATISHBHAI_MULJIBHAI_SAGATHIYA,Rajkot_Rural,Independent,820
800,MAKWANA_KAUSHIKBHAI_MULAJIBHAI,Rajkot_Rural,Independent,593
801,DR._DEGDA_JAYESHBHAI_SOMABHAI,Rajkot_Rural,Independent,369
802,DANGAR_RAMESHBHAI_LALJIBHAI,Rajkot_Rural,Independent,363
803,PUNJABHAI_ARJANBHAI_SOLANKI,Rajkot_Rural,Independent,360
804,DENGADA_PRAVINBHAI_MEGHJIBHAI,Rajkot_Rural,Independent,281
805,DINESHBHAI_BABUBHAI_PARMAR,Rajkot_Rural,Independent,253
806,HARSHADBHAI_NATHABHAI_DHAMMAR,Rajkot_Rural,Sardar_Vallabhbhai_Patel_Party,227
807,KISHANBHAI_KHIMJIBHAI_PARMAR,Rajkot_Rural,Independent,200
808,BAVALIYA_KUNVARJIBHAI_MOHANBHAI,Jasdan,Indian_National_Congress,84321
809,DR.BHARAT_KHODABHAI_BOGHARA,Jasdan,Bharatiya_Janata_Party,75044
810,RAJPARA_MAGANBHAI_JADAVBHAI,Jasdan,Independent,1492
811,RATHOD_VIRDASBHAI_NANJIBHAI,Jasdan,Bahujan_Samaj_Party,944
812,RAJPARA_MANUBHAI_SAVSIBHAI,Jasdan,All_India_Hindustan_Congress_Party,841
813,PARMAR_VALLABHBHAI_MITHABHAI,Jasdan,Gujarat_Jan_Chetna_Party,683
814,MOTIBHAI_GOKALBHAI_RAJPARA,Jasdan,Independent,615
815,MANKOLIYA_BHARATBHAI_JESABHAI,Jasdan,Independent,406
816,SARIYA_HARJIBHAI_PUNABHAI,Jasdan,Vyavastha_Parivartan_Party,368
817,SHAKORIYA_HASMUKHBHAI_NARANBHAI,Jasdan,Shivsena,360
818,DINESHBHAI_KHIMJIBHAI_RATHOD,Jasdan,Independent,338
819,KANUBHAI_ALABHAI_RATHOD,Jasdan,Independent,312
820,PARESHBHAI_KURAJIBHAI_ROJASARA,Jasdan,Independent,274
821,GORADHANBHAI_AMARASHIBHAI_TAVIYA,Jasdan,Independent,256
822,TAVIYA_RANCHHODBHAI_DHARAMSHIBHAI,Jasdan,Independent,233
823,JADEJA_GEETABA_JAYRAJSINH,Gondal,Bharatiya_Janata_Party,70506
824,KHATARIYA_ARJUNBHAI_GHANSHYAMBHAI,Gondal,Indian_National_Congress,55109
825,JADEJA_OMDEVSINH_PRABHATSINH,Gondal,Nationalist_Congress_Party,6004
826,KHUNT_NIMISHABEN_DHIRAJLAL,Gondal,Aam_Aadmi_Party,2179
827,SAKHIYA_RAJESHBHAI_LALJIBHAI,Gondal,Bahujan_Samaj_Party,1210
828,LAVADIYA_UGABHAI_GHUSABHAI,Gondal,Independent,791
829,VARDHANI_MUKESHBHAI_DHOLUMAL,Gondal,Independent,481
830,RADADIYA_CHIRAGBHAI_CHANDUBHAI,Gondal,Independent,284
831,CHANDUBHAI_BACHUBHAI_VAGHASIYA,Gondal,Bharatiya_National_Janta_Dal,208
832,KHATARIYA_DHARMESHBHAI_BHUPATBHAI,Gondal,Independent,181
833,JAYESHKUMAR_GHOGHABHAI_VADODARIYA,Gondal,All_India_Hindustan_Congress_Party,172
834,PANDYA_RUSHIKESHBHAI_MANSUKHBHAI,Gondal,Bharatiya_Rashtravadi_Paksha,155
835,RADADIYA_JAYESHBHAI_VITTHALBHAI,Jetpur,Bharatiya_Janata_Party,98948
836,AMBALIYA_RAVIBHAI_JAMANADAS,Jetpur,Indian_National_Congress,73367
837,CHAVDA_DINESHKUMAR_MENANDBHAI,Jetpur,Bahujan_Samaj_Party,1065
838,ALPESH_VALLABHBHAI_VADOLIYA_(108),Jetpur,Independent,705
839,SONDARVA_ASHOK_NANJI,Jetpur,Independent,630
840,RADADIYA_VIMAL_VRAJLAL,Jetpur,Independent,608
841,PATEL_MAYUR_CHANDULAL,Jetpur,Nationalist_Congress_Party,600
842,RADADIYA_MAHESH_MANSUKHLAL,Jetpur,Independent,347
843,SAVALIYA_VIJAYBHAI_JAGDISHBHAI,Jetpur,Independent,320
844,LALIT_VASOYA,Dhoraji,Indian_National_Congress,85070
845,PATEL_HARIBHAI,Dhoraji,Bharatiya_Janata_Party,59985
846,CHUDASAMA_HARPALSINH_RANJITSINH,Dhoraji,All_India_Hindustan_Congress_Party,2199
847,SONDARAVA_ASHOK_NANJI,Dhoraji,Independent,2026
848,BHASKER_MANHARLAL_KARSANJI,Dhoraji,Bahujan_Samaj_Party,1926
849,PARMAR_SAHID_ABDULBHAI_(HEDLI),Dhoraji,Independent,1224
850,SONDARVA_VASHRAMBHAI_BACHUBHAI,Dhoraji,Independent,1183
851,DER_JETHABHAI_FOGALBHAI,Dhoraji,Samajwadi_Party,894
852,SAMA_AMINBHAI_ISHAKBHAI,Dhoraji,Independent,536
853,CHAVDA_PARESHKUMAR_GIRDHARLAL,Dhoraji,Independent,394
854,KIRTIKUMAR_BAVANJIBHAI_MARVANIYA,Dhoraji,Independent,349
855,HARDIKKUMAR_HARSHADBHAI_VACHHANI,Dhoraji,Aam_Aadmi_Party,339
856,MONABEN_DUSHYANTKUMAR_BALDANIYA,Dhoraji,Gujarat_Jan_Chetna_Party,269
857,SUTARIYA_MANISHABEN_NILESHBHAI,Dhoraji,Janata_Dal__(United),170
858,VAGHAMSHI_VIPULBHAI_HASMUKHBHAI,Dhoraji,Sardar_Vallabhbhai_Patel_Party,168
859,VAKIL_VINZUDA_RANJIT_NARANBHAI,Dhoraji,Navin_Bharat_Nirman_Manch,155
860,DHARAR_JAHIRBHAI_JAVIDBHAI,Dhoraji,Rashtriya_Jankranti_Party,126
861,MUSADIYA_PRAVINBHAI_NARASHIBHAI,Kalavad_S.C.,Indian_National_Congress,78085
862,GHAIYADA_MULJIBHAI_DAYABHAI,Kalavad_S.C.,Bharatiya_Janata_Party,45134
863,SONDARVA_DAMJIBHAI_NAJABHAI,Kalavad_S.C.,Bahujan_Samaj_Party,2185
864,SINGAL_MAVJIBHAI_MANJIBHAI,Kalavad_S.C.,Independent,1408
865,VAGHELA_GAUTAMBHAI_MANGABHAI,Kalavad_S.C.,Independent,445
866,MAKWANA_ASHOKBHAI_(KALI)_PINAKINBHAI,Kalavad_S.C.,All_India_Hindustan_Congress_Party,408
867,KHARA_DEVJIBHAI_ALABHAI,Kalavad_S.C.,Independent,334
868,PADHIYAR_LALJIBHAI_KARABHAI,Kalavad_S.C.,Republican_Party_of_India,332
869,DIPAKBHAI_NATHABHAI_VAGHELA,Kalavad_S.C.,Independent,284
870,DHARAVIYA_VALLABHBHAI_VELJIBHAI,Jamnagar_Rural,Indian_National_Congress,70750
871,PATEL_RAGHAVJIBHAI_HANSARAJBHAI,Jamnagar_Rural,Bharatiya_Janata_Party,64353
872,GORI_ALI_MAMADBHAI,Jamnagar_Rural,Independent,2423
873,GANDHA_ISMAILBHAI_JUMABHAI,Jamnagar_Rural,Independent,1488
874,KHOL_RAJAKBHAI_ALIBHAI,Jamnagar_Rural,Independent,817
875,CHINTAN_JAGJIVANBHAI_KALAVADIYA,Jamnagar_Rural,Independent,721
876,MARAKANA_JAYESH_HARJIBHAI,Jamnagar_Rural,Nationalist_Congress_Party,681
877,SUMBHANIYA_JAVIDBHAI_AHEMADBHAI,Jamnagar_Rural,Independent,639
878,JADEJA_ASHOKSINH_VAJESANG,Jamnagar_Rural,Lok_Gathbandhan_Party,369
879,KHOD_ABDULKARIMBHAI_NURMAMADBHAI,Jamnagar_Rural,Independent,358
880,LOKHIL_MANUBHAI_RANABHAI_AHIR,Jamnagar_Rural,Independent,332
881,PARESHKUMAR_BHANUBHAI_BHANDERI,Jamnagar_Rural,Aam_Aadmi_Party,327
882,KHARA_DEVJIBHAI_ALABHAI,Jamnagar_Rural,Independent,319
883,HARANIA_OTAMCHAND_RAISHI,Jamnagar_Rural,Shivsena,287
884,KADRI_ABDULKADAR_GULAM,Jamnagar_Rural,Independent,280
885,KHAFI_MAMADBHAI_JUMABHAI,Jamnagar_Rural,Independent,275
886,SATAVARA_DAYALBHAI_AMBABHAI_(DHARVIYA),Jamnagar_Rural,Independent,267
887,SACHDA_AKHATAR_AADAM,Jamnagar_Rural,Independent,218
888,BAMBHAVA_VEJA_DANA,Jamnagar_Rural,Bhartiya_Samajik_Party,218
889,BHAMBHI_DIPAK_JIVABHAI,Jamnagar_Rural,Independent,213
890,GOSWAMI_VINODGIRI_RAMESHGIRI,Jamnagar_Rural,Rashtriya_Komi_Ekta_Party,198
891,L.B.PRAJAPATI,Jamnagar_Rural,All_India_Hindustan_Congress_Party,190
892,PATARA_GANI_ISMAIL,Jamnagar_Rural,Independent,187
893,MANDAVIYA_VITTHAL_NANJIBHAI,Jamnagar_Rural,Independent,176
894,KAKAL_NURMAMAD_MUSABHAI,Jamnagar_Rural,Independent,173
895,PARMAR_BHURALAL_MEGHJIBHAI,Jamnagar_Rural,Independent,164
896,MALEK_ABEDABEN_HUSHENBHAI,Jamnagar_Rural,Independent,110
897,JADEJA_DHARMENDRASINH__MERUBHA_(HAKUBHA),Jamnagar_North,Bharatiya_Janata_Party,84327
898,AHIR_JIVANBHAI_KARUBHAI_KUMBHARVADIYA,Jamnagar_North,Indian_National_Congress,43364
899,GUJARATISURYA_KAMLESHBHAI_LAXMANBHAI,Jamnagar_North,Independent,4047
900,GOTAM_ALABHAI_VAGHELA,Jamnagar_North,Bahujan_Samaj_Party,1957
901,JOGAL_ARJAN,Jamnagar_North,Independent,1568
902,JAFARBHAI_JUSABBHAI_DODEPAUTRA,Jamnagar_North,Nationalist_Congress_Party,831
903,PARMAR_JAGDISHBHAI_DEVSIBHAI,Jamnagar_North,Independent,729
904,PARMAR_DEVJI,Jamnagar_North,Independent,666
905,CHAUHAN_HAMIDABEN,Jamnagar_North,Independent,625
906,KHAFI_ARIF_JUMABHAI,Jamnagar_North,Independent,437
907,KURESHI_MAHAMADSIDIK_HASAMBHAI,Jamnagar_North,Independent,354
908,JADAV_DINESH_DEVSIBHAI,Jamnagar_North,Independent,284
909,CHAVDA_JUNAS_MAMAD,Jamnagar_North,Independent,271
910,VAGHELA_KANJI_JETHABHAI_(K._J._VAGHELA),Jamnagar_North,Independent,258
911,RAYJADA_SIRAJBHAI_DOSTMAMADBHAI,Jamnagar_North,Independent,249
912,AHIR_CHAVDA_DIPAK_DEVATBHAI,Jamnagar_North,Shivsena,245
913,PARMAR_DINESH_BHARATBHAI,Jamnagar_North,Independent,200
914,BHAMBHI_ASHOK_KARABHAI,Jamnagar_North,Independent,184
915,ARTHIYA_ASHOKBHAI,Jamnagar_North,All_India_Hindustan_Congress_Party,183
916,SANGHANI_CHANDRESH,Jamnagar_North,Independent,165
917,KURESHI_HANIF_ABDULKARIM,Jamnagar_North,Independent,156
918,MAKWANA_RAMESH_AMARABHAI,Jamnagar_North,Independent,155
919,AMRONIYA_INUS_MAMAD,Jamnagar_North,Independent,138
920,SAMEJA_MAMAD_KASAMBHAI,Jamnagar_North,Bharatiya_Rashtravadi_Paksha,123
921,RANCHHODBHAI_CHANABHAI_FALDU_(R.C.FALDU),Jamnagar_South,Bharatiya_Janata_Party,71718
922,ASHOK_LAL,Jamnagar_South,Indian_National_Congress,55369
923,ASHVINBHAI_NATHABHAI_CHAVDA,Jamnagar_South,Bahujan_Samaj_Party,1627
924,KHAFI_BODUBHAI_ISMAIL,Jamnagar_South,Janata_Dal__(United),489
925,BRIJESH_VIJAYBHAI_NANDA_(MUNNABHAI),Jamnagar_South,Shivsena,415
926,ZALA_JAYDIP_SUBHASHBHAI,Jamnagar_South,Independent,360
927,PARMAR_DEVJI_JETHABHAI,Jamnagar_South,Independent,336
928,KU._JAGRUTIBEN_NAUTAMLAL_VYAS_(ADVOCATE),Jamnagar_South,All_India_Hindustan_Congress_Party,276
929,CHANDRA_HEMLATABEN_JAVAHARBHAI,Jamnagar_South,Independent,145
930,JAYDEVSINH_JILUBHA_CHAUHAN,Jamnagar_South,Independent,142
931,KALARIYA_CHIRAGBHAI_RAMESHBHAI,Jamjodhpur,Indian_National_Congress,64212
932,CHIMANBHAI_DHARAMSHIBHAI_SAPARIYA,Jamjodhpur,Bharatiya_Janata_Party,61694
933,HAMIRANI_SALIMBHAI_HUSHENBHAI,Jamjodhpur,Independent,1355
934,PRAVINBHAI_VALLABHBHAI_NARIYA,Jamjodhpur,Bahujan_Samaj_Party,1160
935,DANGAR_RAMESHBHAI_VARVABHAI,Jamjodhpur,Independent,1035
936,RABADIYA_MOHANLAL_HIRJIBHAI,Jamjodhpur,Samajwadi_Party,937
937,SAFIYA_MAMADBHAI_HAJIBHAI,Jamjodhpur,Independent,463
938,KARSHANBHAI_LAKHABHAI_HARALAJANI,Jamjodhpur,Independent,422
939,CHUDASAMA_GAMBHIRSINH_JILUBHA,Jamjodhpur,Independent,372
940,SHIDA_ABU_UMAR,Jamjodhpur,Independent,256
941,LADANI_CHANDRIKABEN_DILIPBHAI,Jamjodhpur,Independent,193
942,JADEJA_VIJAYSINH_ANOPSINH,Jamjodhpur,Independent,153
943,AHIR_VIKRAMBHAI_ARJANBHAI_MADAM,Khambhalia,Indian_National_Congress,79779
944,KALUBHAI_NARANBHAI_CHAVDA,Khambhalia,Bharatiya_Janata_Party,68733
945,NAGASH_KARSHANBHAI_JESHABHAI,Khambhalia,Independent,2513
946,PARMAR_GIRISHBHAI_MULJIBHAI,Khambhalia,Independent,1433
947,GAJJAN_ABBAS_UMAR,Khambhalia,Nationalist_Congress_Party,882
948,DALIT_CHAVDA_ASHOK_NATHABHAI,Khambhalia,Independent,843
949,PARMAR_JAMANBHAI_KESHABHAI,Khambhalia,Independent,719
950,VAGHELA_KIRITSINH_KESHUBHA,Khambhalia,All_India_Hindustan_Congress_Party,584
951,KETANBHAI_SAVJIBHAI_PARMAR,Khambhalia,Aam_Aadmi_Party,449
952,PIPROTAR_DILIP_NAGABHAI,Khambhalia,Rashtriya_Komi_Ekta_Party,387
953,SUMBHANIYA_ISMAIL_OSMAN,Khambhalia,Independent,335
954,POSTARIYA_MALDE_NATHUBHAI,Khambhalia,Shivsena,308
955,JOKHIYA_ANVARBHAI_UMARBHAI,Khambhalia,Independent,299
956,GANDHAR_HANIFBHAI_HARUNBHAI,Khambhalia,Independent,284
957,SUMBHANIYA_SULTAN_VAHAB,Khambhalia,Independent,253
958,JUNEJA_RAJAK_BAUDINBHAI,Khambhalia,Independent,201
959,CHOPDA_RENUKABEN_NARENDRABHAI,Khambhalia,Independent,189
960,JADEJA_RAJENDRASINH_JILUBHA,Khambhalia,Independent,179
961,JASHRAYA_JAVED_HUSENBHAI,Khambhalia,Independent,138
962,JADEJA_DILIPSINH_PRATAPSINH,Khambhalia,Independent,136
963,PABUBHA_VIRAMBHA_MANEK,Dwarka,Bharatiya_Janata_Party,73431
964,AHIR_MERAMAN_MARKHI,Dwarka,Indian_National_Congress,67692
965,MADAM_RANMALBHAI_LAKHUBHAI,Dwarka,Nationalist_Congress_Party,2829
966,CHETARIYA_RAMBHAI_KARSHANBHAI,Dwarka,Bahujan_Samaj_Party,1911
967,KANJARIYA_ARJAN_KESHA,Dwarka,Independent,1584
968,ASHOKBHAI_JIVABHAI_VAGHELA,Dwarka,Independent,1565
969,BHAGAVANJIBHAI_HEMRAJBHAI_THOBHANI,Dwarka,Independent,1086
970,MAKAVANA_SHAILESHBHAI_LAKHABHAI,Dwarka,Independent,660
971,BOLIM_HAJIBHAI_ABHARAMBHAI,Dwarka,Independent,359
972,BOLIM_MAMAD_KASAMBHAI,Dwarka,Independent,330
973,RANMALBHAI_ARJANBHAI_GODHAM,Dwarka,Shivsena,295
974,CHETARIYA_VAJSHIBHAI_KANABHAI,Dwarka,Independent,252
975,SONAGARA_CHANDUBHAI_BHIKHABHAI,Dwarka,All_India_Hindustan_Congress_Party,211
976,BABUBHAI_BHIMABHAI_BOKHIRIYA,Porbandar,Bharatiya_Janata_Party,72430
977,ARJUNBHAI_DEVABHAI_MODHVADIYA,Porbandar,Indian_National_Congress,70575
978,AANANDBHAI_HAJABHAI_MARU,Porbandar,Bahujan_Samaj_Party,4337
979,MODHVADIYA_ARJANBHAI_VIRAMBHAI,Porbandar,Independent,836
980,ODEDARA_GANGABHAI_MALDEBHAI,Porbandar,Janata_Dal__(United),656
981,SUNIL_MODHA,Porbandar,Independent,495
982,BOKHIRIYA_VASTABHAI_ARJANBHAI,Porbandar,Independent,330
983,DASA_RAMA_LAKHMANBHAI,Porbandar,All_India_Hindustan_Congress_Party,287
984,BHADRECHA_PINTUBHAI_RAMJI,Porbandar,Independent,272
985,RAJESH_GAURISHANKAR_PANDYA,Porbandar,Shivsena,209
986,UNADKAT_PRAKASHBHAI_VALLABHDAS,Porbandar,Independent,154
987,JADEJA_KANDHALBHAI_SARMANBHAI,Kutiyana,Nationalist_Congress_Party,59406
988,ODEDRA_LAKHAMANBHAI_BHIMABHAI,Kutiyana,Bharatiya_Janata_Party,35697
989,MODEDRA_VEJABHAI_LILABHAI,Kutiyana,Indian_National_Congress,11670
990,VRAJLAL_PABABHAI_SADIYA,Kutiyana,Bahujan_Samaj_Party,3169
991,SHAMLA_RAMABHAI_GOGANBHAI,Kutiyana,Independent,1913
992,VAGHELA_LALJIBHAI_SOMABHAI,Kutiyana,Independent,884
993,KHUNTI_KANABHAI_JAKHRABHAI,Kutiyana,Independent,453
994,RATHOD_CHANDULAL_MOHANBHAI,Kutiyana,Independent,418
995,BHATT_NITINBHAI_VRAJLAL,Kutiyana,Independent,245
996,ODEDARA_BALUBHAI_RAMABHAI,Kutiyana,Independent,201
997,JOSHI_HARISH_LILADHAR,Kutiyana,Independent,199
998,KADEGIYA_GANGABHAI_KANABHAI,Kutiyana,Independent,165
999,CHAVDA_JAWAHARBHAI_PETHALJIBHAI,Manavadar,Indian_National_Congress,88570
1000,NITINKUMAR_(TINUBHAI)_VALJIBHAI_FADADU,Manavadar,Bharatiya_Janata_Party,58807
1001,CHANDANI_YUNUSBHAI_ADREMANBHAI,Manavadar,Bahujan_Samaj_Party,1549
1002,SODHA_HUSHENABEN_HUSHENBHAI,Manavadar,Independent,935
1003,VANAVI_HITENDRABHAI_DEVJIBHAI,Manavadar,Independent,612
1004,GADHIYA_SHARDABEN_RAVAJIBHAI,Manavadar,Bharatiya_National_Janta_Dal,575
1005,MADHUKANT_KANJI_GAJERA,Manavadar,Real_Democracy_Party,351
1006,TANK_AMRUTLAL_NARAN,Manavadar,Independent,315
1007,JIVANI_RAJUBHAI_DAYALAL,Manavadar,Sardar_Vallabhbhai_Patel_Party,282
1008,JOSHI_BHIKHABHAI_GALABHAI,Junagadh,Indian_National_Congress,76850
1009,MASHRU_MAHENDRABHAI_LILADHARBHAI,Junagadh,Bharatiya_Janata_Party,70766
1010,CHOVATIYA_DHANAJIBHAI_JASMATBHAI,Junagadh,Bahujan_Samaj_Party,1194
1011,HARESHKUMAR_MANUBHAI_SARDHARA,Junagadh,Independent,1052
1012,CHAVADA_DHARMENDRABHAI__GOKALBHAI,Junagadh,Prajashakti_Party_Samdarshi,697
1013,VASOYA_RAMESHBHAI_GOKALBHAI,Junagadh,Independent,514
1014,NOYADA_ABUBHAI_TARMAMDBHAI,Junagadh,Independent,302
1015,VAGHERA_KIRIT_NANJIBHAI,Junagadh,Bahujan_Mukti_Party,299
1016,RANINGA_BHARAT_PRAGAJIBHAI,Junagadh,All_India_Hindustan_Congress_Party,251
1017,DHIVARE_DAXABEN_SUBHASHBHAI,Junagadh,Akhand_Hind_Party,238
1018,JIGNESHBHAI_BABUBHAI_RAKHOLIYA,Junagadh,Sardar_Vallabhbhai_Patel_Party,236
1019,DALASANIYA_BHARATBHAI_MULJIBHAI,Junagadh,Independent,223
1020,PATHAR_SANJAYBHAI_VALLABHBHAI,Junagadh,Rashtriya_Komi_Ekta_Party,177
1021,INDRAJITSINH_SURENDRASINH_RATHOD,Junagadh,Independent,157
1022,RIBADIYA_HARSHADKUMAR_MADHAVAJIBHAI,Visavadar,Indian_National_Congress,81882
1023,PATEL_KIRIT_BALUBHAI,Visavadar,Bharatiya_Janata_Party,58781
1024,JAGUBHAI_RANINGBHAI_VANK,Visavadar,Bahujan_Samaj_Party,2588
1025,HARUNBHAI_HUSENBHAI_SUMARA,Visavadar,Independent,1093
1026,BLOCH_RAHIMBHAI_ALIBHAI,Visavadar,Indian_New_Congress_Party,966
1027,MAKWANA_DHARMENDRA_VAJUBHAI,Visavadar,Independent,885
1028,RAMOLIYA_BHUPATBHAI_BHIKHABHAI,Visavadar,Sardar_Vallabhbhai_Patel_Party,632
1029,AGAVAN_SADIK_KARIM,Visavadar,Independent,408
1030,RUPAPARA_PANKAJ_RAMESHBHAI,Visavadar,Real_Democracy_Party,360
1031,HARESHBHAI_KARAMSHIBHAI_DOBARIA,Visavadar,All_India_Hindustan_Congress_Party,356
1032,DEVABHAI_PUNJABHAI_MALAM,Keshod,Bharatiya_Janata_Party,71425
1033,JAYESHKUMAR_VALJIBHAI_LADANI,Keshod,Indian_National_Congress,60619
1034,KHIMANANDBHAI_GOVINDBHAI_JARER,Keshod,Nationalist_Congress_Party,1155
1035,SHAILESHKUMAR_NAUTTAMLAL_PANDYA,Keshod,Independent,859
1036,JADAVBHAI_BACHUBHAI_CHUDASAMA,Keshod,Gujarat_Jan_Chetna_Party,774
1037,LALITKUMAR_LALJIBHAI_DEDANIA,Keshod,Independent,759
1038,DHARMESHBHAI_KIRTIBHAI_PARMAR,Keshod,Bahujan_Mukti_Party,412
1039,MAHESHBHAI_DEVSHIBHAI_MAKWANA,Keshod,Independent,409
1040,PRAVINBHAI_BALUBHAI_VANPARIYA,Keshod,Independent,317
1041,ASHOK__PALA,Keshod,Independent,209
1042,KAPIL_RAMESHCHANDRA_DAVE,Keshod,Independent,192
1043,NATHABHAI_VASHRAMBHAI_RATHOD,Keshod,All_India_Hindustan_Congress_Party,163
1044,VAJA_BABUBHAI_KALABHAI,Mangrol,Indian_National_Congress,71654
1045,KARGATIYA_BHAGVANJIBHAI_LAKHABHAI,Mangrol,Bharatiya_Janata_Party,57740
1046,CHANDEGARA_SANJAYKUMAR_KANTIBHAI,Mangrol,Independent,1938
1047,SATBHAYA_ASHWINLAL_KANTILAL,Mangrol,Independent,1238
1048,DAL_IKBALBHAI_HASANBHAI,Mangrol,Independent,625
1049,CHUDASAMA_VIMALBHAI_KANABHAI,Somnath,Indian_National_Congress,94914
1050,JASHABHAI_BHANABHAI_BARAD,Somnath,Bharatiya_Janata_Party,74464
1051,SHAHMADAR_HANIFSHA_REMANSHA,Somnath,Bahujan_Samaj_Party,1612
1052,BHADARKA_HASAN_KASAM,Somnath,Independent,1504
1053,DHEKA_MAHMADFARUK_HARUNBHAI,Somnath,Independent,447
1054,CHANDAPA_KISHAN_HAJABHAI,Somnath,Independent,340
1055,TANK_YUSUFBHAI_REMAN,Somnath,Independent,238
1056,JUNGI_PRATAPBHAI_CHUNILAL,Somnath,Independent,227
1057,IMRAN_NURMAHMAD_SIMARI,Somnath,Independent,216
1058,CHANCHIYA_GAFARBHAI_ALIBHAI,Somnath,Independent,132
1059,CHAUHAN_RAFIK_HUSEN,Somnath,Independent,126
1060,OZA_RAHULBHAI_MANSUKHLAL,Somnath,Independent,110
1061,GOHEL_MULJIBHAI_NARANBHAI,Somnath,Independent,107
1062,GOHEL_HARUN_ALI,Somnath,Independent,84
1063,AHIR__BHAGABHAI_DHANABHAI_BARAD,TALALA,Indian_National_Congress,85897
1064,PARMAR_GOVINDBHAI_VARJANGBHAI,TALALA,Bharatiya_Janata_Party,54167
1065,THUMAR_VRUJLAL_KHIMABHAI,TALALA,Bahujan_Samaj_Party,2171
1066,DAKI_JAYSUKHLAL_JADAVBHAI,TALALA,Independent,1105
1067,PARMAR__RAMJIBHAI_MANANDBHAI,TALALA,Independent,842
1068,BHARATHI_ASHOKKUMAR_REVUBHAI,TALALA,Independent,632
1069,MOHANLAL_MALABHAI_VALA,Kodinar,Indian_National_Congress,72408
1070,VADHER_RAMBHAI_MEPABHAI,Kodinar,Bharatiya_Janata_Party,57873
1071,VINODBHAI_KHIMABHAI_SOLANKI,Kodinar,Bahujan_Mukti_Party,1780
1072,VALA_LALITKUMAR_MADHUBHAI,Kodinar,Nationalist_Congress_Party,1211
1073,VADHEL_MALABHAI_TEJABHAI,Kodinar,Independent,1176
1074,VADHEL_JAGDISHBHAI_NATHABHAI,Kodinar,All_India_Hindustan_Congress_Party,632
1075,VANSH_PUNJABHAI_BHIMABHAI,Una,Indian_National_Congress,72775
1076,HARIBHAI_BOGHABHAI_SOLANKI,Una,Bharatiya_Janata_Party,67847
1077,PARMAR_JENTIBHAI_KANABHAI,Una,Bahujan_Samaj_Party,2486
1078,HARSHADBHAI_CHHAGANBHAI_BAMBHANIYA,Una,Independent,1575
1079,BARIA_BABUBHAI_BHIMABHAI,Una,Independent,1191
1080,JESING_SHAMJI_RATHOD,Una,Republican_Party_of_India_(Reformist),968
1081,SHANTILAL_DANABHAI_KIDECHA,Una,Gujarat_Jan_Chetna_Party,719
1082,RATHOD_DAYABHAI_LAKHABHAI,Una,Bahujan_Mukti_Party,457
1083,J_V__KAKADIYA,Dhari,Indian_National_Congress,66644
1084,DILIP___SANGHANI,Dhari,Bharatiya_Janata_Party,51308
1085,KHATARIYA_HAMIRBHAI_LAKHABHAI,Dhari,Independent,1942
1086,SURESHBHAI_DHIRUBHAI__RAMANI,Dhari,Independent,1216
1087,KOLADIYA_DHARMENDRABHAI_KALUBHAI,Dhari,All_India_Hindustan_Congress_Party,890
1088,PARMAR_JAYSUKHBHAI_MOHANBHAI,Dhari,Independent,454
1089,KATIYA_RAVJIBHAI_KHIMJIBHAI,Dhari,Independent,436
1090,VALA_JASHUBHAI_NANKABHAI,Dhari,Independent,381
1091,CHIRAGKUMAR_SURESHBHAI_PARMAR,Dhari,Independent,282
1092,VALA_JAYDIPBHAI_BAVKUBHAI,Dhari,Shivsena,270
1093,IMRANBHAI_VALIBHAI_PARMAR,Dhari,Independent,189
1094,PARESH_DHANANI,Amreli,Indian_National_Congress,87032
1095,BAVKUBHAI_UNDHAD,Amreli,Bharatiya_Janata_Party,75003
1096,SHUKLA_BHARGAVKUMAR,Amreli,Independent,1483
1097,MADHAD_RAVAJIBHAI_DANABHAI,Amreli,Bahujan_Samaj_Party,1167
1098,LALBHAI_BODAR,Amreli,Nationalist_Congress_Party,806
1099,RAJESH_MADHVANI,Amreli,Independent,599
1100,VITTHALBHAI_MAVJIBHAI_GAJERA_(V.M.GAJERA),Amreli,Bharatiya_National_Janta_Dal,322
1101,PAGHDAL_JAYANTILAL_BAVABHAI,Amreli,Yuva_Sarkar,285
1102,ADIYESA_RUTIL,Amreli,Independent,242
1103,VIRAJIBHAI_THUMMAR,Lathi,Indian_National_Congress,64743
1104,GOPALBHAI_(CHAMARDI),Lathi,Bharatiya_Janata_Party,55400
1105,DHARAJIYA_KAUSHIKBHAI_NANKUBHAI,Lathi,Vyavastha_Parivartan_Party,1459
1106,DABASARA_VINUBHAI_VALJIBHAI,Lathi,Nationalist_Congress_Party,1046
1107,PRADIPBHAI_VITHALBHAI_SOJITRA,Lathi,Independent,938
